Tiempo,Demanda,Solar_Gen,Eolica_Gen,Hora,Dia_Semana,Temperatura,Radiacion_Solar,Velocidad_Viento
2021-01-01 00:00:00,1620.66,0.0,139.66,0,4,26.99,0.0,7.84
2021-01-01 01:00:00,1194.14,0.0,286.0,1,4,24.95,0.0,9.96
2021-01-01 02:00:00,1023.93,0.0,317.49,2,4,25.78,0.0,10.31
2021-01-01 03:00:00,876.32,0.0,500.0,3,4,24.0,0.0,12.54
2021-01-01 04:00:00,752.96,0.0,227.9,4,4,24.81,0.0,9.24
2021-01-01 05:00:00,922.24,0.0,242.59,5,4,25.4,0.0,9.43
2021-01-01 06:00:00,1315.93,2.59,181.32,6,4,26.11,3.24,8.56
2021-01-01 07:00:00,1748.43,234.53,266.85,7,4,26.27,293.16,9.73
2021-01-01 08:00:00,2198.45,400.77,239.45,8,4,24.85,500.96,9.39
2021-01-01 09:00:00,2297.17,553.89,255.22,9,4,28.43,692.37,9.59
2021-01-01 10:00:00,2184.71,629.49,97.35,10,4,28.4,786.86,6.96
2021-01-01 11:00:00,2029.98,827.89,34.65,11,4,29.72,1034.86,4.93
2021-01-01 12:00:00,1894.39,765.05,60.18,12,4,29.72,956.31,5.92
2021-01-01 13:00:00,1730.55,767.42,136.13,13,4,31.09,959.28,7.78
2021-01-01 14:00:00,1653.11,682.52,41.5,14,4,31.3,853.15,5.23
2021-01-01 15:00:00,1495.54,667.1,0.0,15,4,30.61,833.87,2.84
2021-01-01 16:00:00,1655.77,352.67,31.64,16,4,30.91,440.84,4.78
2021-01-01 17:00:00,1917.61,191.12,8.7,17,4,30.6,238.9,3.11
2021-01-01 18:00:00,2193.05,41.55,59.85,18,4,30.78,51.93,5.91
2021-01-01 19:00:00,2490.15,0.0,27.62,19,4,30.57,0.0,4.57
2021-01-01 20:00:00,2742.11,0.0,98.28,20,4,30.69,0.0,6.98
2021-01-01 21:00:00,2923.82,0.0,164.36,21,4,28.03,0.0,8.28
2021-01-01 22:00:00,2681.8,0.0,346.43,22,4,28.12,0.0,10.62
2021-01-01 23:00:00,2000.11,0.0,172.07,23,4,26.24,0.0,8.41
2021-01-02 00:00:00,1577.17,0.0,33.28,0,5,25.0,0.0,4.86
2021-01-02 01:00:00,1148.83,0.0,221.32,1,5,26.49,0.0,9.15
2021-01-02 02:00:00,1056.0,0.0,379.84,2,5,25.94,0.0,10.95
2021-01-02 03:00:00,892.9,0.0,275.17,3,5,24.67,0.0,9.83
2021-01-02 04:00:00,724.29,0.0,500.0,4,5,25.45,0.0,14.16
2021-01-02 05:00:00,915.06,0.0,192.56,5,5,25.62,0.0,8.73
2021-01-02 06:00:00,1350.83,51.3,234.5,6,5,25.82,64.12,9.32
